enrollee_id,city,city_development_index,relevent_experience,enrolled_university,education_level,experience,company_size,last_new_job,training_hours,target,training_hours_capped,education_level_encoded,relevent_experience_encoded,experience_encoded,company_size_encoded,last_new_job_encoded,enrolled_university_encoded,city_freq,major_discipline_Arts,major_discipline_Business Degree,major_discipline_Humanities,major_discipline_No Major,major_discipline_Other,major_discipline_STEM,major_discipline_Unknown,gender_Female,gender_Male,gender_Other,gender_Unknown,company_type_Early Stage Startup,company_type_Funded Startup,company_type_NGO,company_type_Other,company_type_Public Sector,company_type_Pvt Ltd,company_type_Unknown
8949,city_103,0.92,Has relevent experience,no_enrollment,Graduate,>20,Unknown,1,36,1.0,36.0,2,1,21,-1,1.0,0,0.22732017955945297,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
29725,city_40,0.7759999999999999,No relevent experience,no_enrollment,Graduate,15,50-99,>4,47,0.0,47.0,2,0,15,2,5.0,0,0.003549431047082159,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
11561,city_21,0.624,No relevent experience,Full time course,Graduate,5,Unknown,never,83,0.0,83.0,2,0,5,-1,0.0,1,0.14103768660611754,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
33241,city_115,0.789,No relevent experience,Unknown,Graduate,<1,Unknown,never,52,1.0,52.0,2,0,0,-1,0.0,-1,0.0028186658315064203,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
666,city_162,0.767,Has relevent experience,no_enrollment,Masters,>20,50-99,4,8,0.0,8.0,3,1,21,2,0.0,0,0.006681281970978181,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
21651,city_176,0.764,Has relevent experience,Part time course,Graduate,11,Unknown,1,24,1.0,24.0,2,1,11,-1,1.0,2,0.001252740369558409,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
28806,city_160,0.92,Has relevent experience,no_enrollment,High School,5,50-99,1,24,0.0,24.0,1,1,5,2,1.0,0,0.04410690051153565,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False
402,city_46,0.762,Has relevent experience,no_enrollment,Graduate,13,<10,>4,18,1.0,18.0,2,1,13,0,5.0,0,0.006681281970978181,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
27107,city_103,0.92,Has relevent experience,no_enrollment,Graduate,7,50-99,1,46,1.0,46.0,2,1,7,2,1.0,0,0.22732017955945297,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
699,city_103,0.92,Has relevent experience,no_enrollment,Graduate,17,10000+,>4,123,0.0,123.0,2,1,17,7,5.0,0,0.22732017955945297,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
29452,city_21,0.624,No relevent experience,Full time course,High School,2,Unknown,never,32,1.0,32.0,1,0,2,-1,0.0,1,0.14103768660611754,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
23853,city_103,0.92,Has relevent experience,no_enrollment,Graduate,5,5000-9999,1,108,0.0,108.0,2,1,5,6,1.0,0,0.22732017955945297,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
25619,city_61,0.913,Has relevent experience,no_enrollment,Graduate,>20,1000-4999,3,23,0.0,23.0,2,1,21,5,3.0,0,0.010282910533458608,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
5826,city_21,0.624,No relevent experience,Unknown,Unknown,2,Unknown,never,24,0.0,24.0,-1,0,2,-1,0.0,-1,0.14103768660611754,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
8722,city_21,0.624,No relevent experience,Full time course,High School,5,Unknown,never,26,0.0,26.0,1,0,5,-1,0.0,1,0.14103768660611754,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
6588,city_114,0.926,Has relevent experience,no_enrollment,Graduate,16,10/49,>4,18,0.0,18.0,2,1,16,1,5.0,0,0.06973588057208477,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
4167,city_103,0.92,Has relevent experience,no_enrollment,Graduate,1,50-99,never,106,0.0,106.0,2,1,1,2,0.0,0,0.22732017955945297,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
5764,city_21,0.624,Has relevent experience,no_enrollment,Graduate,2,5000-9999,2,7,0.0,7.0,2,1,2,6,2.0,0,0.14103768660611754,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
2156,city_21,0.624,Has relevent experience,no_enrollment,Graduate,7,10000+,never,23,1.0,23.0,2,1,7,7,0.0,0,0.14103768660611754,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
11399,city_13,0.8270000000000001,Has relevent experience,no_enrollment,Graduate,4,Unknown,1,132,1.0,132.0,2,1,4,-1,1.0,0,0.002505480739116818,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
31972,city_159,0.843,Has relevent experience,no_enrollment,Masters,11,100-500,1,68,0.0,68.0,3,1,11,3,1.0,0,0.004906566447437102,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
19061,city_114,0.926,Has relevent experience,no_enrollment,Masters,11,100-500,2,50,0.0,50.0,3,1,11,3,2.0,0,0.06973588057208477,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
6491,city_102,0.804,Has relevent experience,no_enrollment,Masters,10,Unknown,1,48,0.0,48.0,3,1,10,-1,1.0,0,0.015868044681073182,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
7041,city_40,0.7759999999999999,Has relevent experience,no_enrollment,Graduate,<1,1000-4999,1,65,0.0,65.0,2,1,0,5,1.0,0,0.003549431047082159,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
22767,city_21,0.624,Has relevent experience,no_enrollment,Graduate,5,1000-4999,1,13,0.0,13.0,2,1,5,5,1.0,0,0.14103768660611754,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
14505,city_67,0.855,No relevent experience,no_enrollment,High School,4,Unknown,never,22,0.0,22.0,1,0,4,-1,0.0,0,0.022497129136653096,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
17139,city_21,0.624,Has relevent experience,Part time course,Graduate,14,500-999,1,148,1.0,148.0,2,1,14,4,1.0,2,0.14103768660611754,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
28476,city_103,0.92,Has relevent experience,no_enrollment,Graduate,5,Unknown,2,72,0.0,72.0,2,1,5,-1,2.0,0,0.22732017955945297,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
21538,city_100,0.887,Has relevent experience,no_enrollment,High School,11,<10,1,8,1.0,8.0,1,1,11,0,1.0,0,0.014354316734523438,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
10408,city_21,0.624,Has relevent experience,no_enrollment,Graduate,18,50-99,2,68,1.0,68.0,2,1,18,2,2.0,0,0.14103768660611754,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
14928,city_103,0.92,Has relevent experience,no_enrollment,Graduate,>20,100-500,3,40,0.0,40.0,2,1,21,3,3.0,0,0.22732017955945297,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
22293,city_103,0.92,Has relevent experience,Part time course,Graduate,19,5000-9999,>4,141,0.0,141.0,2,1,19,6,5.0,2,0.22732017955945297,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
4324,city_103,0.92,No relevent experience,Full time course,Graduate,5,Unknown,1,24,0.0,24.0,2,0,5,-1,1.0,1,0.22732017955945297,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
26966,city_160,0.92,Has relevent experience,no_enrollment,Graduate,>20,100-500,>4,82,0.0,82.0,2,1,21,3,5.0,0,0.04410690051153565,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
26494,city_16,0.91,Has relevent experience,no_enrollment,Graduate,12,5000-9999,3,145,0.0,145.0,2,1,12,6,3.0,0,0.08001879110554337,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
4866,city_103,0.92,Has relevent experience,no_enrollment,Graduate,10,10/49,2,206,0.0,185.5,2,1,10,1,2.0,0,0.22732017955945297,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
